facilityId,lat,lon,source,notes,buildingName,streetAddress,city,state,zip
SEA23,47.614949,-122.338387,OpenStreetMap Nominatim (refresh),"Amazon SEA23 - Denny Triangle campus building | refreshed from address: 2021 7th Ave, Seattle, WA 98121",Wainwright,2021 7th Ave,Seattle,WA,98121
SEA25,47.623284,-122.336499,OpenStreetMap Nominatim (refresh),"Amazon SEA25 - Denny Triangle campus building | refreshed from address: 1048 Republican St, Seattle, WA 98109",Obidos,1048 Republican St,Seattle,WA,98109
SEA28,47.621896,-122.319086,OpenStreetMap Nominatim (refresh),"Amazon SEA28 - Denny Triangle campus building | refreshed from address: 1047 E Harrison St, Seattle, WA 98102",Ruby,1047 E Harrison St,Seattle,WA,98102
SEA33,47.615656,-122.335942,OpenStreetMap Nominatim (refresh),"Amazon SEA33 - Denny Triangle campus building | refreshed from address: 1918 8th Ave, Seattle, WA 98101",Blackfoot,1918 8th Ave,Seattle,WA,98101
SEA39,47.623849,-122.339119,OpenStreetMap Nominatim (refresh),"Amazon SEA39 - Denny Triangle campus building | refreshed from address: 500 9th Ave N, Seattle, WA 98109",Nessie,500 9th Ave N,Seattle,WA,98109
SEA40,47.622950,-122.336515,OpenStreetMap Nominatim (refresh),"Amazon SEA40 - Denny Triangle campus building | refreshed from address: 440 Terry Ave N, Seattle, WA 98109",Doppler,440 Terry Ave N,Seattle,WA,98109
SEA41,47.615303,-122.338055,OpenStreetMap Nominatim (refresh),"Amazon SEA41 - Denny Triangle campus building | refreshed from address: 2001 7th Ave, Seattle, WA 98121",Day 1,2001 7th Ave,Seattle,WA,98121
SEA42,47.608817,-122.334353,OpenStreetMap Nominatim (refresh),"Amazon SEA42 - Denny Triangle campus building | refreshed from address: 1301 5th Ave, Seattle, WA 98101",Rainier Square,1301 5th Ave,Seattle,WA,98101
SEA53,47.622181,-122.339345,OpenStreetMap Nominatim (refresh),"Amazon SEA53 - Denny Triangle campus building | refreshed from address: 400 9th Ave N, Seattle, WA 98109",Brazil,400 9th Ave N,Seattle,WA,98109
SEA55,47.616216,-122.343986,OpenStreetMap Nominatim (refresh),"Amazon SEA55 - Denny Triangle campus building | refreshed from address: 2301 5th Ave, Seattle, WA 98121",Otter,2301 5th Ave,Seattle,WA,98121
SEA70,47.621207,-122.335186,OpenStreetMap Nominatim (refresh),"Amazon SEA70 - Denny Triangle campus building | refreshed from address: 300 Boren Ave N, Seattle, WA 98109",Houdini South,300 Boren Ave N,Seattle,WA,98109
SEA71,47.621871,-122.335128,OpenStreetMap Nominatim (refresh),"Amazon SEA71 - Denny Triangle campus building | refreshed from address: 399 Fairview Ave N, Seattle, WA 98109",Houdini North,399 Fairview Ave N,Seattle,WA,98109
SEA74,47.622181,-122.339345,OpenStreetMap Nominatim (refresh),"Amazon SEA74 - Denny Triangle campus building | refreshed from address: 400 9th Ave N, Seattle, WA 98109",Unknown,400 9th Ave N,Seattle,WA,98109
SEA81,47.616171,-122.333047,OpenStreetMap Nominatim (refresh),"Amazon SEA81 - Denny Triangle campus building | refreshed from address: 1007 Stewart St, Seattle, WA 98101",Oscar,1007 Stewart St,Seattle,WA,98101
SEA83,47.621449,-122.338076,OpenStreetMap Nominatim (refresh),"Amazon SEA83 - Denny Triangle campus building | refreshed from address: 320 Westlake Ave N, Seattle, WA 98109",Triumph West,320 Westlake Ave N,Seattle,WA,98109
SEA86,47.621450,-122.337549,OpenStreetMap Nominatim (refresh),"Amazon SEA86 - Denny Triangle campus building | refreshed from address: 321 Terry Ave N, Seattle, WA 98109",Triumph East,321 Terry Ave N,Seattle,WA,98109
SEA89,47.611264,-122.337947,OpenStreetMap Nominatim (refresh),"Amazon SEA89 - Denny Triangle campus building | refreshed from address: 300 Pine St, Seattle, WA 98101",Blueshift,300 Pine St,Seattle,WA,98101
SEA90,47.621398,-122.329545,OpenStreetMap Nominatim (refresh),"Amazon SEA90 - Denny Triangle campus building | refreshed from address: 325 Eastlake Ave E, Seattle, WA 98109",Atlas,325 Eastlake Ave E,Seattle,WA,98109
SEA91,47.620482,-122.339596,OpenStreetMap Nominatim (refresh),"Amazon SEA91 - Denny Triangle campus building | refreshed from address: 234 9th Ave N, Seattle, WA 98109",Unicorn,234 9th Ave N,Seattle,WA,98109
SEA104,47.613281,-122.195812,OpenStreetMap Nominatim (refresh),"Amazon SEA104 - Denny Triangle campus building | refreshed from address: 320 108th Ave NE, Bellevue, WA 98004",Grace,320 108th Ave NE,Bellevue,WA,98004
SEA106,47.619734,-122.199653,OpenStreetMap Nominatim (refresh),"Amazon SEA106 - Denny Triangle campus building | refreshed from address: 10550 NE 10th St, Bellevue, WA 98004",Tahoe,10550 NE 10th St,Bellevue,WA,98004
SEA107,47.619732,-122.200478,OpenStreetMap Nominatim (refresh),"Amazon SEA107 - Denny Triangle campus building | refreshed from address: 10450 NE 10th St, Bellevue, WA 98004",Tahoe,10450 NE 10th St,Bellevue,WA,98004
SEA112,47.614880,-122.196865,OpenStreetMap Nominatim (refresh),"Amazon SEA112 - Denny Triangle campus building | refreshed from address: 555 108th Ave NE, Bellevue, WA 98004",Sonic,555 108th Ave NE,Bellevue,WA,98004
SEA113,47.634302,-122.199694,OpenStreetMap Nominatim (refresh),"Amazon SEA113 - Denny Triangle campus building | refreshed from address: 85 106th Ave NE, Bellevue, WA 98004",Unknown,85 106th Ave NE,Bellevue,WA,98004
SEA124,47.614880,-122.196865,OpenStreetMap Nominatim (refresh),"Amazon SEA124 - Denny Triangle campus building | refreshed from address: 555 108th Ave NE, Bellevue, WA 98004",Unknown,555 108th Ave NE,Bellevue,WA,98004
SEA132,47.614247,-122.200717,OpenStreetMap Nominatim (refresh),"Amazon SEA132 - Denny Triangle campus building | refreshed from address: 10400 NE 4th St, Bellevue, WA 98004",Unknown,10400 NE 4th St,Bellevue,WA,98004
SEA24,47.615343,-122.338887,OpenStreetMap Nominatim (refresh),"Amazon SEA24 - Denny Triangle campus building | refreshed from address: 2031 7th Ave, Seattle, WA 98121",Fiona,2031 7th Ave,Seattle,WA,98121
SEA26,47.623284,-122.336499,OpenStreetMap Nominatim (refresh),"Amazon SEA26 - Denny Triangle campus building | refreshed from address: 1048 Republican St, Seattle, WA 98109",Rufus,1048 Republican St,Seattle,WA,98109
SEA27,47.621768,-122.336502,OpenStreetMap Nominatim (refresh),"Amazon SEA27 - Denny Triangle campus building | refreshed from address: 345 Boren Ave N, Seattle, WA 98109",Dawson,345 Boren Ave N,Seattle,WA,98109
SEA29,47.620341,-122.336255,OpenStreetMap Nominatim (refresh),"Amazon SEA29 - Denny Triangle campus building | refreshed from address: 207 Boren Ave N, Seattle, WA 98109",Arizona,207 Boren Ave N,Seattle,WA,98109
SEA37,47.620128,-122.338072,OpenStreetMap Nominatim (refresh),"Amazon SEA37 - Denny Triangle campus building | refreshed from address: 202 Westlake Ave N, Seattle, WA 98109",Roxanne,202 Westlake Ave N,Seattle,WA,98109
SEA38,47.624292,-122.339119,OpenStreetMap Nominatim (refresh),"Amazon SEA38 - Denny Triangle campus building | refreshed from address: 515 Westlake Ave N, Seattle, WA 98109",Bigfoot,515 Westlake Ave N,Seattle,WA,98109
SEA43,47.608817,-122.334353,OpenStreetMap Nominatim (refresh),"Amazon SEA43 - Denny Triangle campus building | refreshed from address: 1301 5th Ave, Seattle, WA 98101",Rainier Square,1301 5th Ave,Seattle,WA,98101
SEA44,47.608817,-122.334353,OpenStreetMap Nominatim (refresh),"Amazon SEA44 - Denny Triangle campus building | refreshed from address: 1301 5th Ave, Seattle, WA 98101",Rainier Square,1301 5th Ave,Seattle,WA,98101
SEA47,47.608817,-122.334353,OpenStreetMap Nominatim (refresh),"Amazon SEA47 - Denny Triangle campus building | refreshed from address: 1301 5th Ave, Seattle, WA 98101",Rainier Square,1301 5th Ave,Seattle,WA,98101
SEA48,47.617559,-122.339888,OpenStreetMap Nominatim (refresh),"Amazon SEA48 - Denny Triangle campus building | refreshed from address: 2205 8th Ave, Seattle, WA 98121",Nitro South,2205 8th Ave,Seattle,WA,98121
SEA54,47.621544,-122.340142,OpenStreetMap Nominatim (refresh),"Amazon SEA54 - Denny Triangle campus building | refreshed from address: 325 9th Ave N, Seattle, WA 98109",Apollo,325 9th Ave N,Seattle,WA,98109
SEA58,47.616483,-122.334490,OpenStreetMap Nominatim (refresh),"Amazon SEA58 - Denny Triangle campus building | refreshed from address: 1915 Terry Ave, Seattle, WA 98101",Kumo,1915 Terry Ave,Seattle,WA,98101
SEA68,47.615992,-122.341676,OpenStreetMap Nominatim (refresh),"Amazon SEA68 - Denny Triangle campus building | refreshed from address: 2201 6th Ave, Seattle, WA 98121",Coral,2201 6th Ave,Seattle,WA,98121
SEA69,47.625252,-122.367335,OpenStreetMap Nominatim (refresh),"Amazon SEA69 - Denny Triangle campus building | refreshed from address: 635 Elliott Ave W, Seattle, WA 98119",Galaxy,635 Elliott Ave W,Seattle,WA,98119
SEA76,47.623696,-122.334865,OpenStreetMap Nominatim (refresh),"Amazon SEA76 - Denny Triangle campus building | refreshed from address: 501 Fairview Ave N, Seattle, WA 98109",Unknown,501 Fairview Ave N,Seattle,WA,98109
SEA82,47.622181,-122.339345,OpenStreetMap Nominatim (refresh),"Amazon SEA82 - Denny Triangle campus building | refreshed from address: 400 9th Ave N, Seattle, WA 98109",Everest,400 9th Ave N,Seattle,WA,98109
SEA84,47.616788,-122.331883,OpenStreetMap Nominatim (refresh),"Amazon SEA84 - Denny Triangle campus building | refreshed from address: 1812 Boren Ave, Seattle, WA 98101",Lowflyinghawk,1812 Boren Ave,Seattle,WA,98101
SEA93,47.613457,-122.194926,OpenStreetMap Nominatim (refresh),"Amazon SEA93 | VERIFIED_ADDRESS 10885 NE 4th St Bellevue WA 98004 | refreshed from address: 10885 NE 4th St, Bellevue, WA 98004",Amazon SEA93 - 10885 NE 4th St 8th floor,10885 NE 4th St,Bellevue,WA,98004
